Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2014/08/07, 00:09:58, -41.391376, -71.559654, 920.84,  432.00, 254, -2, 0.00, 1
2014/08/07, 00:40:05, -41.391281, -71.559860, 916.90,  396.00, 109, 0, 20.17, 1
2014/08/07, 01:10:28, -41.391369, -71.560005, 888.17,  900.00, 276, 0, 15.56, 1
2014/08/07, 02:05:22, -41.391262, -71.559692, 941.76,  1440.00, 200, 0, 28.69, 1
2014/08/07, 03:06:26, -41.391277, -71.560234, 938.34,  1512.00, 186, 0, 45.24, 1
2014/08/07, 03:46:56, -41.391308, -71.559868, 904.01,  1008.00, 354, 0, 30.73, 1
2014/08/07, 04:17:05, -41.391293, -71.559814, 923.20,  900.00, 96, 0, 4.80, 1
2014/08/07, 04:47:29, -41.391304, -71.559875, 909.66,  36.00, 269, 0, 5.23, 1
2014/08/07, 05:18:22, -41.391296, -71.559830, 914.29,  324.00, 156, 0, 3.86, 1
2014/08/07, 06:14:59, -41.391296, -71.559868, 900.97,  0.00, 80, 0, 3.17, 1
2014/08/07, 06:45:01, -41.391327, -71.559837, 971.78,  684.00, 112, 0, 4.31, 1
2014/08/07, 07:15:02, -41.391197, -71.559921, 933.66,  180.00, 276, 0, 16.06, 1
2014/08/07, 07:45:25, -41.391441, -71.559937, 893.62,  1116.00, 48, 0, 27.16, 1
2014/08/07, 08:16:04, -41.391285, -71.559830, 915.33,  144.00, 97, 0, 19.51, 1
2014/08/07, 08:55:37, -41.391243, -71.559799, 908.31,  432.00, 119, 0, 5.34, 1
2014/08/07, 09:25:48, -41.391464, -71.560455, 931.97,  576.00, 180, 0, 59.99, 1
2014/08/07, 09:55:57, -41.392025, -71.561066, 901.40,  2484.00, 247, 0, 80.56, 1
2014/08/07, 10:26:32, -41.392879, -71.561577, 934.20,  252.00, 245, 0, 104.09, 1
2014/08/07, 10:59:04, -41.393612, -71.561501, 1006.31,  3420.00, 251, 0, 81.75, 1
2014/08/07, 11:43:05, -41.392693, -71.561562, 912.35,  180.00, 0, 0, 102.31, 1
2014/08/07, 12:30:50, -41.392693, -71.561356, 919.40,  216.00, 14, 0, 17.18, 1
2014/08/07, 13:01:40, -41.392845, -71.561531, 910.72,  864.00, 197, 0, 22.33, 1
2014/08/07, 13:32:36, -41.392506, -71.561432, 925.29,  324.00, 179, 0, 38.59, 1
2014/08/07, 14:03:46, -41.392067, -71.561249, 915.47,  396.00, 319, 0, 51.15, 1
2014/08/07, 14:35:28, -41.391697, -71.561378, 928.33,  288.00, 19, 0, 42.53, 1
2014/08/07, 15:23:23, -41.390976, -71.561035, 930.93,  360.00, 327, 0, 85.12, 1
2014/08/07, 15:54:38, -41.390022, -71.560539, 934.67,  1008.00, 341, 0, 113.86, 1
2014/08/07, 16:25:33, -41.388954, -71.560188, 921.13,  0.00, 43, 0, 122.31, 1
2014/08/07, 16:56:39, -41.388107, -71.559868, 905.67,  684.00, 244, 0, 97.89, 1
2014/08/07, 17:29:42, -41.386414, -71.559669, 931.20,  1368.00, 44, 0, 188.98, 1
2014/08/07, 18:00:42, -41.385403, -71.559227, 920.44,  972.00, 192, 0, 118.31, 1
2014/08/07, 18:31:52, -41.384514, -71.559029, 946.63,  540.00, 120, 0, 100.22, 1
2014/08/07, 19:42:12, -41.382660, -71.559402, 936.03,  2340.00, 215, 0, 208.49, 1
2014/08/07, 20:21:40, -41.381966, -71.559128, 917.02,  576.00, 172, 0, 80.48, 1
2014/08/07, 20:52:30, -41.381004, -71.559563, 903.61,  2772.00, 345, 0, 112.96, 1
2014/08/07, 21:22:52, -41.381424, -71.559052, 934.12,  612.00, 101, 0, 63.24, 1
2014/08/07, 22:03:59, -41.381516, -71.559334, 867.42,  2160.00, 50, 0, 25.66, 1
2014/08/07, 22:34:33, -41.381203, -71.558708, 914.18,  324.00, 15, 0, 62.76, 1
2014/08/07, 23:05:28, -41.381031, -71.558975, 909.73,  612.00, 120, 0, 29.36, 1
2014/08/07, 23:36:11, -41.380806, -71.559082, 950.38,  468.00, 116, -4, 26.56, 1
2014/08/08, 00:07:05, -41.381306, -71.558678, 866.33,  252.00, 163, -2, 0.00, 1
2014/08/08, 01:15:29, -41.381027, -71.558838, 915.64,  0.00, 174, 0, 33.77, 1
2014/08/08, 01:45:47, -41.381035, -71.558731, 919.77,  936.00, 256, 0, 8.97, 1
2014/08/08, 02:16:43, -41.381252, -71.558685, 942.48,  72.00, 113, 0, 24.43, 1
2014/08/08, 03:06:11, -41.381069, -71.558853, 921.96,  1332.00, 59, 0, 24.71, 1
2014/08/08, 04:08:11, -41.381142, -71.558815, 916.55,  756.00, 62, 0, 8.71, 1
2014/08/08, 04:38:44, -41.381149, -71.558945, 906.42,  1296.00, 192, 0, 10.87, 1
2014/08/08, 05:09:22, -41.381130, -71.558784, 927.42,  828.00, 233, 0, 13.60, 1
2014/08/08, 05:40:18, -41.381065, -71.558922, 919.61,  468.00, 50, 0, 13.59, 1
2014/08/08, 06:10:38, -41.381096, -71.558754, 906.57,  828.00, 219, 0, 14.43, 1
2014/08/08, 06:41:00, -41.381115, -71.558899, 933.85,  396.00, 175, 0, 12.28, 1
2014/08/08, 07:41:23, -41.381237, -71.559166, 910.98,  792.00, 298, 0, 26.08, 1
2014/08/08, 08:38:04, -41.381054, -71.558746, 927.79,  900.00, 255, 0, 40.52, 1
2014/08/08, 09:30:58, -41.380680, -71.558777, 915.54,  864.00, 164, 0, 41.67, 1
2014/08/08, 10:14:43, -41.380669, -71.558235, 910.25,  1692.00, 62, 0, 45.24, 1
2014/08/08, 11:03:14, -41.381760, -71.558090, 914.85,  1008.00, 280, 0, 121.92, 1
2014/08/08, 11:34:01, -41.382145, -71.558266, 927.35,  828.00, 59, 0, 45.26, 1
2014/08/08, 12:04:44, -41.381924, -71.558746, 916.78,  468.00, 24, 0, 46.99, 1
2014/08/08, 12:35:18, -41.381947, -71.559265, 899.45,  4248.00, 47, 0, 43.38, 1
2014/08/08, 13:05:58, -41.380955, -71.559219, 917.75,  0.00, 50, 0, 110.37, 1
2014/08/08, 13:36:42, -41.380093, -71.559288, 928.61,  2916.00, 48, 0, 96.02, 1
2014/08/08, 14:07:52, -41.379261, -71.559052, 910.97,  504.00, 344, 0, 94.59, 1
2014/08/08, 14:47:18, -41.379852, -71.558830, 899.07,  468.00, 213, 0, 68.28, 1
2014/08/08, 15:42:07, -41.380325, -71.559143, 910.56,  468.00, 348, 0, 58.72, 1
2014/08/08, 16:15:37, -41.379414, -71.559097, 913.57,  1548.00, 179, 0, 101.37, 1
2014/08/08, 17:10:15, -41.377804, -71.556488, 1269.71,  1908.00, 173, 0, 281.84, 1
2014/08/08, 17:41:54, -41.377064, -71.553291, 1581.30,  1944.00, 25, 0, 279.15, 1
2014/08/08, 18:13:27, -41.376762, -71.550789, 1560.64,  1872.00, 67, 0, 211.45, 1
2014/08/08, 18:45:53, -41.380440, -71.559715, 910.67,  288.00, 56, 0, 849.65, 1
2014/08/08, 19:23:03, -41.381218, -71.559700, 930.40,  1692.00, 186, 0, 86.52, 1
2014/08/08, 20:29:33, -41.383152, -71.559120, 915.37,  720.00, 56, 0, 220.43, 1
2014/08/08, 21:02:25, -41.383053, -71.559113, 917.21,  756.00, 73, 0, 11.02, 1
2014/08/08, 21:33:25, -41.383564, -71.558586, 888.26,  216.00, 14, 0, 71.85, 1
2014/08/08, 22:09:04, -41.383591, -71.558540, 923.51,  324.00, 245, 0, 4.87, 1
2014/08/08, 22:39:34, -41.383671, -71.558495, 916.49,  0.00, 182, 0, 9.66, 1
2014/08/08, 23:10:34, -41.383640, -71.558510, 912.63,  504.00, 349, 0, 3.67, 1
2014/08/08, 23:41:00, -41.383644, -71.558403, 928.76,  144.00, 224, -4, 8.94, 1
2014/08/09, 00:11:25, -41.383656, -71.558540, 899.03,  0.00, 354, -2, 0.00, 1
