Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2014/08/07, 00:51:20, -41.410648, -71.570244, 989.82,  1188.00, 88, -2, 0.00, 1
2014/08/07, 01:21:06, -41.410748, -71.570183, 975.03,  0.00, 14, 0, 12.23, 1
2014/08/07, 01:50:46, -41.410843, -71.570206, 955.80,  900.00, 188, 0, 10.74, 1
2014/08/07, 02:20:58, -41.410557, -71.570343, 1011.84,  576.00, 149, 0, 33.79, 1
2014/08/07, 03:03:44, -41.410694, -71.570190, 976.16,  0.00, 112, 0, 19.87, 1
2014/08/07, 03:33:31, -41.410671, -71.570152, 987.62,  828.00, 82, 0, 4.07, 1
2014/08/07, 04:03:28, -41.410625, -71.570122, 995.92,  720.00, 106, 0, 5.69, 1
2014/08/07, 04:33:42, -41.410629, -71.570297, 961.38,  504.00, 141, 0, 14.60, 1
2014/08/07, 05:05:58, -41.410740, -71.570198, 967.91,  108.00, 169, 0, 14.85, 1
2014/08/07, 05:47:08, -41.410435, -71.569870, 997.52,  792.00, 254, 0, 43.57, 1
2014/08/07, 06:28:35, -41.410717, -71.570213, 1003.48,  288.00, 49, 0, 42.44, 1
2014/08/07, 07:16:56, -41.410679, -71.570229, 976.92,  540.00, 213, 0, 4.43, 1
2014/08/07, 08:01:51, -41.410713, -71.570183, 969.51,  180.00, 41, 0, 5.39, 1
2014/08/07, 08:48:17, -41.410862, -71.570221, 982.81,  0.00, 116, 0, 16.87, 1
2014/08/07, 09:18:12, -41.410976, -71.569908, 1019.95,  684.00, 147, 0, 29.02, 1
2014/08/07, 09:48:05, -41.412037, -71.568527, 1006.43,  252.00, 338, 0, 164.87, 1
2014/08/07, 10:17:53, -41.412571, -71.568161, 1045.75,  504.00, 60, 0, 66.76, 1
2014/08/07, 10:48:10, -41.413643, -71.570503, 1026.62,  1152.00, 10, 0, 228.81, 1
2014/08/07, 11:18:35, -41.416275, -71.571213, 1012.46,  324.00, 205, 0, 298.59, 1
2014/08/07, 11:54:18, -41.419144, -71.569847, 983.58,  144.00, 271, 0, 338.74, 1
2014/08/07, 12:24:39, -41.419746, -71.570190, 986.12,  180.00, 229, 0, 72.79, 1
2014/08/07, 12:55:10, -41.419788, -71.570068, 999.20,  0.00, 195, 0, 11.19, 1
2014/08/07, 13:25:43, -41.419735, -71.570198, 991.10,  0.00, 314, 0, 12.34, 1
2014/08/07, 13:56:23, -41.419945, -71.569023, 989.12,  1008.00, 352, 0, 100.72, 1
2014/08/07, 14:27:16, -41.420341, -71.569046, 1004.27,  468.00, 24, 0, 44.07, 1
2014/08/07, 14:58:52, -41.420437, -71.569099, 989.82,  324.00, 216, 0, 11.55, 1
2014/08/07, 15:31:50, -41.420578, -71.568474, 991.94,  0.00, 168, 0, 54.42, 1
2014/08/07, 16:02:24, -41.419373, -71.568497, 983.00,  0.00, 240, 0, 134.00, 1
2014/08/07, 16:33:17, -41.419590, -71.569778, 983.87,  1692.00, 226, 0, 109.51, 1
2014/08/07, 17:06:56, -41.418591, -71.569893, 992.11,  864.00, 44, 0, 111.50, 1
2014/08/07, 18:10:34, -41.418682, -71.568314, 990.43,  2448.00, 174, 0, 132.05, 1
2014/08/07, 18:41:03, -41.417423, -71.568314, 1002.20,  1368.00, 144, 0, 139.99, 1
2014/08/07, 19:11:30, -41.418068, -71.567787, 991.04,  0.00, 33, 0, 84.11, 1
2014/08/07, 19:42:08, -41.418770, -71.568001, 998.38,  1152.00, 5, 0, 80.07, 1
2014/08/07, 20:25:55, -41.418594, -71.568108, 984.51,  648.00, 77, 0, 21.51, 1
2014/08/07, 21:20:32, -41.418598, -71.567863, 1003.23,  468.00, 1, 0, 20.43, 1
2014/08/07, 21:51:36, -41.418602, -71.568069, 977.95,  288.00, 85, 0, 17.18, 1
2014/08/07, 22:59:20, -41.418667, -71.568062, 992.34,  1692.00, 43, -4, 7.25, 1
2014/08/08, 00:07:05, -41.418625, -71.568031, 989.24,  720.00, 37, -2, 0.00, 1
2014/08/08, 01:02:58, -41.418545, -71.568108, 976.91,  324.00, 33, 0, 10.97, 1
2014/08/08, 01:32:51, -41.418533, -71.568008, 992.14,  612.00, 148, 0, 8.44, 1
2014/08/08, 02:02:41, -41.418613, -71.568161, 979.22,  864.00, 177, 0, 15.55, 1
2014/08/08, 02:33:05, -41.418549, -71.568001, 991.63,  252.00, 246, 0, 15.12, 1
2014/08/08, 03:14:06, -41.418594, -71.567970, 978.35,  2124.00, 34, 0, 5.63, 1
2014/08/08, 03:43:57, -41.418545, -71.568016, 1001.48,  288.00, 338, 0, 6.66, 1
2014/08/08, 04:13:50, -41.418579, -71.568054, 982.35,  396.00, 205, 0, 4.93, 1
2014/08/08, 04:43:45, -41.418598, -71.568024, 996.08,  468.00, 299, 0, 3.27, 1
2014/08/08, 05:14:04, -41.418633, -71.568039, 972.49,  252.00, 185, 0, 4.09, 1
2014/08/08, 05:47:37, -41.418579, -71.568123, 982.97,  468.00, 197, 0, 9.23, 1
2014/08/08, 06:17:21, -41.418671, -71.568039, 1017.24,  360.00, 0, 0, 12.40, 1
2014/08/08, 06:47:14, -41.418552, -71.568001, 982.65,  648.00, 42, 0, 13.61, 1
2014/08/08, 07:17:05, -41.418663, -71.568153, 983.24,  432.00, 0, 0, 17.69, 1
2014/08/08, 07:47:05, -41.418556, -71.568062, 980.94,  504.00, 22, 0, 14.11, 1
2014/08/08, 08:16:51, -41.418499, -71.567917, 994.42,  720.00, 44, 0, 13.65, 1
2014/08/08, 08:46:58, -41.418648, -71.568207, 986.66,  828.00, 83, 0, 29.31, 1
2014/08/08, 09:23:59, -41.418297, -71.569611, 991.23,  180.00, 98, 0, 123.41, 1
2014/08/08, 09:53:40, -41.418461, -71.570183, 989.72,  0.00, 124, 0, 51.06, 1
2014/08/08, 10:23:32, -41.418636, -71.571083, 1000.60,  5724.00, 110, 0, 77.53, 1
2014/08/08, 10:53:58, -41.418377, -71.571251, 995.62,  324.00, 101, 0, 32.03, 1
2014/08/08, 11:25:33, -41.417725, -71.571472, 998.85,  864.00, 130, 0, 74.80, 1
2014/08/08, 12:31:52, -41.415337, -71.572609, 1021.42,  3276.00, 188, 0, 281.95, 1
2014/08/08, 13:37:50, -41.417095, -71.573723, 1013.52,  3276.00, 12, 0, 216.43, 1
2014/08/08, 14:08:40, -41.417351, -71.572975, 1011.67,  360.00, 82, 0, 68.56, 1
2014/08/08, 14:39:35, -41.417000, -71.573471, 944.66,  900.00, 86, 0, 56.87, 1
2014/08/08, 15:11:05, -41.416733, -71.573967, 1015.14,  252.00, 0, 0, 50.91, 1
2014/08/08, 16:12:58, -41.416008, -71.574104, 1019.11,  216.00, 144, 0, 81.42, 1
2014/08/08, 16:43:51, -41.415806, -71.573830, 1028.81,  0.00, 229, 0, 32.04, 1
2014/08/08, 17:14:44, -41.414589, -71.574287, 1024.39,  1368.00, 163, 0, 140.59, 1
2014/08/08, 17:46:58, -41.412621, -71.572769, 1032.66,  2844.00, 278, 0, 252.81, 1
2014/08/08, 18:17:52, -41.411354, -71.573006, 993.39,  0.00, 279, 0, 142.26, 1
2014/08/08, 18:48:31, -41.410759, -71.573997, 985.67,  1188.00, 36, 0, 105.86, 1
2014/08/08, 19:20:36, -41.410568, -71.574654, 1013.58,  108.00, 168, 0, 58.76, 1
2014/08/08, 19:51:42, -41.410763, -71.574722, 977.49,  972.00, 163, 0, 22.41, 1
2014/08/08, 20:22:13, -41.411026, -71.574944, 1002.56,  216.00, 73, 0, 34.61, 1
2014/08/08, 20:53:04, -41.411171, -71.574661, 1017.87,  0.00, 78, 0, 28.58, 1
2014/08/08, 21:23:04, -41.411446, -71.575424, 1015.05,  936.00, 80, 0, 70.60, 1
2014/08/08, 21:53:15, -41.411404, -71.575119, 980.97,  1368.00, 42, 0, 25.86, 1
2014/08/08, 22:23:30, -41.413021, -71.575615, 1002.21,  1008.00, 242, 0, 184.50, 1
2014/08/08, 23:14:34, -41.412819, -71.575447, 1019.56,  324.00, 79, -4, 26.47, 1
2014/08/09, 00:09:05, -41.412830, -71.575554, 1030.92,  648.00, 327, -2, 0.00, 1
2014/08/09, 00:39:23, -41.412731, -71.575447, 1006.05,  612.00, 350, 0, 14.17, 1
2014/08/09, 01:09:36, -41.412846, -71.575653, 1015.33,  1116.00, 350, 0, 21.42, 1
2014/08/09, 01:40:06, -41.412899, -71.575500, 1016.06,  0.00, 0, 0, 14.05, 1
2014/08/09, 02:13:56, -41.412960, -71.575462, 1015.44,  0.00, 0, 0, 7.49, 1
2014/08/09, 02:44:20, -41.412506, -71.575615, 1077.89,  1476.00, 175, 0, 52.07, 1
2014/08/09, 03:22:02, -41.412819, -71.575394, 1022.74,  216.00, 208, 0, 39.38, 1
2014/08/09, 03:52:18, -41.412804, -71.575119, 1030.02,  1476.00, 321, 0, 22.99, 1
2014/08/09, 04:23:07, -41.412807, -71.575455, 1013.63,  1584.00, 66, 0, 28.02, 1
2014/08/09, 05:31:29, -41.412838, -71.575493, 1030.42,  576.00, 20, 0, 4.68, 1
2014/08/09, 06:01:49, -41.412876, -71.575485, 1013.43,  684.00, 49, 0, 4.28, 1
2014/08/09, 06:32:10, -41.412849, -71.575531, 998.82,  324.00, 23, 0, 4.87, 1
2014/08/09, 07:02:58, -41.412849, -71.575546, 1015.47,  108.00, 22, 0, 1.25, 1
2014/08/09, 07:59:30, -41.412910, -71.575569, 1010.41,  0.00, 80, 0, 7.05, 1
2014/08/09, 08:29:43, -41.412792, -71.575775, 1027.05,  648.00, 177, 0, 21.62, 1
2014/08/09, 09:05:36, -41.412617, -71.575104, 1013.06,  792.00, 101, 0, 59.24, 1
2014/08/09, 09:49:00, -41.413166, -71.575584, 1014.98,  2700.00, 311, 0, 73.00, 1
2014/08/09, 10:27:36, -41.411861, -71.577881, 1012.02,  2016.00, 108, 0, 240.31, 1
2014/08/09, 11:26:05, -41.412624, -71.578651, 1022.12,  1368.00, 59, 0, 106.40, 1
2014/08/09, 12:08:33, -41.411880, -71.578682, 1018.71,  3816.00, 359, 0, 82.77, 1
2014/08/09, 12:38:25, -41.411392, -71.577881, 1020.71,  288.00, 0, 0, 86.06, 1
2014/08/09, 13:08:12, -41.411346, -71.577850, 1029.58,  0.00, 325, 0, 5.73, 1
2014/08/09, 13:38:06, -41.411438, -71.577919, 1014.69,  324.00, 272, 0, 11.74, 1
2014/08/09, 14:08:22, -41.411171, -71.577988, 1029.87,  108.00, 334, 0, 30.24, 1
2014/08/09, 15:00:04, -41.411850, -71.576172, 1015.58,  2664.00, 98, 0, 169.22, 1
2014/08/09, 15:29:46, -41.410004, -71.572380, 977.14,  0.00, 190, 0, 377.01, 1
2014/08/09, 15:59:53, -41.410107, -71.572144, 981.56,  108.00, 306, 0, 22.77, 1
2014/08/09, 16:30:44, -41.409973, -71.572601, 1031.21,  792.00, 32, 0, 40.92, 1
2014/08/09, 17:02:03, -41.406853, -71.570518, 963.50,  3960.00, 64, 0, 387.99, 1
2014/08/09, 18:00:56, -41.407280, -71.570122, 897.50,  288.00, 21, 0, 57.84, 1
2014/08/09, 18:31:23, -41.407791, -71.569992, 925.95,  2016.00, 221, 0, 57.85, 1
2014/08/09, 19:02:26, -41.407146, -71.570053, 954.62,  1044.00, 133, 0, 71.90, 1
2014/08/09, 19:33:57, -41.408081, -71.570541, 970.65,  1008.00, 158, 0, 111.65, 1
2014/08/09, 20:23:23, -41.408211, -71.570740, 978.26,  1332.00, 219, 0, 22.01, 1
2014/08/09, 21:27:34, -41.409130, -71.570175, 964.56,  684.00, 278, 0, 112.53, 1
2014/08/09, 22:14:35, -41.409111, -71.570091, 945.34,  324.00, 251, 0, 7.32, 1
2014/08/09, 23:12:05, -41.409092, -71.570114, 969.73,  252.00, 125, -4, 2.85, 1
2014/08/10, 00:01:34, -41.409103, -71.570068, 975.28,  216.00, 289, -2, 0.00, 1
2014/08/10, 00:31:15, -41.409290, -71.569923, 970.54,  0.00, 71, 0, 24.05, 1
2014/08/10, 01:00:58, -41.409241, -71.570213, 945.83,  0.00, 309, 0, 24.79, 1
2014/08/10, 01:30:58, -41.410542, -71.570465, 983.44,  2268.00, 236, 0, 146.18, 1
2014/08/10, 02:26:15, -41.409763, -71.570610, 1024.30,  864.00, 319, 0, 87.46, 1
2014/08/10, 02:56:06, -41.411041, -71.570282, 973.03,  1008.00, 179, 0, 144.72, 1
2014/08/10, 04:03:05, -41.410686, -71.570160, 977.14,  432.00, 153, 0, 40.76, 1
2014/08/10, 04:59:00, -41.410633, -71.570267, 967.72,  0.00, 166, 0, 10.69, 1
2014/08/10, 05:29:00, -41.410637, -71.570229, 990.00,  108.00, 141, 0, 3.20, 1
2014/08/10, 05:59:28, -41.410522, -71.570198, 1054.21,  360.00, 111, 0, 13.05, 1
