Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2014/08/07, 00:28:30, -41.391323, -71.559593, 910.26,  1980.00, 354, -2, 0.00, 1
2014/08/07, 01:09:28, -41.391251, -71.559753, 901.54,  1260.00, 263, 0, 15.56, 1
2014/08/07, 02:00:52, -41.391262, -71.559723, 917.18,  0.00, 152, 0, 2.79, 1
2014/08/07, 03:22:18, -41.391262, -71.559723, 917.18,  0.00, 152, 0, 0.00, 1
2014/08/07, 04:12:14, -41.391796, -71.559692, 864.09,  648.00, 358, 0, 59.43, 1
2014/08/07, 04:42:09, -41.391212, -71.559746, 922.58,  108.00, 357, 0, 65.09, 1
2014/08/07, 05:21:09, -41.391182, -71.559677, 931.54,  540.00, 79, 0, 6.65, 1
2014/08/07, 05:51:38, -41.391380, -71.559624, 875.44,  684.00, 148, 0, 22.46, 1
2014/08/07, 06:20:44, -41.391281, -71.559837, 937.06,  972.00, 209, 0, 20.90, 1
2014/08/07, 06:50:25, -41.391281, -71.559776, 936.71,  1728.00, 297, 0, 5.09, 1
2014/08/07, 07:41:33, -41.391235, -71.559738, 916.00,  180.00, 197, 0, 6.02, 1
2014/08/07, 08:15:49, -41.391186, -71.559761, 920.62,  6732.00, 3, 0, 5.78, 1
2014/08/07, 09:18:48, -41.391628, -71.560326, 940.04,  3924.00, 245, 0, 68.10, 1
2014/08/07, 10:20:07, -41.392704, -71.561554, 911.00,  1368.00, 226, 0, 157.51, 1
2014/08/07, 11:23:45, -41.392704, -71.561554, 911.00,  1368.00, 226, 0, 0.00, 1
2014/08/07, 11:55:21, -41.392414, -71.561607, 898.20,  3204.00, 349, 0, 32.55, 1
2014/08/07, 12:30:40, -41.392345, -71.561440, 918.41,  1836.00, 20, 0, 15.90, 1
2014/08/07, 13:29:21, -41.392967, -71.561401, 975.32,  324.00, 8, 0, 69.24, 1
2014/08/07, 13:59:54, -41.392254, -71.560989, 939.33,  396.00, 172, 0, 86.41, 1
2014/08/07, 17:50:45, -41.392254, -71.560989, 939.33,  396.00, 172, 0, 0.00, 1
2014/08/07, 18:45:56, -41.383831, -71.559532, 948.01,  216.00, 23, 0, 944.45, 1
2014/08/07, 19:15:52, -41.383595, -71.559875, 934.95,  144.00, 258, 0, 38.83, 1
2014/08/07, 21:23:58, -41.383595, -71.559875, 934.95,  144.00, 258, 0, 0.00, 1
2014/08/07, 21:55:02, -41.381527, -71.558289, 1120.52,  756.00, 5, 0, 265.30, 1
2014/08/07, 22:24:52, -41.379253, -71.552750, 1808.82,  1224.00, 250, 0, 526.79, 1
2014/08/07, 23:30:15, -41.380173, -71.560982, 1101.85,  864.00, 77, -4, 694.41, 1
2014/08/08, 00:08:51, -41.381115, -71.558601, 911.08,  1656.00, 145, -2, 0.00, 1
2014/08/08, 01:13:08, -41.380989, -71.558723, 917.38,  1008.00, 96, 0, 17.32, 1
2014/08/08, 01:42:14, -41.380970, -71.558670, 900.96,  1440.00, 197, 0, 4.90, 1
2014/08/08, 02:12:28, -41.381348, -71.558670, 953.18,  972.00, 72, 0, 42.03, 1
2014/08/08, 02:52:39, -41.380867, -71.558701, 985.10,  720.00, 330, 0, 53.55, 1
2014/08/08, 03:22:43, -41.381123, -71.558701, 898.48,  1224.00, 195, 0, 28.47, 1
2014/08/08, 03:52:25, -41.380985, -71.558777, 884.81,  756.00, 179, 0, 16.60, 1
2014/08/08, 04:22:11, -41.381191, -71.558891, 893.33,  1224.00, 190, 0, 24.80, 1
2014/08/08, 05:21:33, -41.381073, -71.558754, 912.63,  756.00, 52, 0, 17.40, 1
2014/08/08, 06:26:05, -41.381157, -71.558746, 921.40,  1260.00, 195, 0, 9.36, 1
2014/08/08, 07:14:36, -41.380928, -71.558815, 928.94,  1260.00, 201, 0, 26.11, 1
2014/08/08, 07:44:04, -41.381069, -71.558723, 940.63,  612.00, 54, 0, 17.46, 1
2014/08/08, 08:13:39, -41.380966, -71.558876, 946.98,  828.00, 354, 0, 17.15, 1
2014/08/08, 08:42:58, -41.380985, -71.558815, 933.69,  16236.00, 143, 0, 5.51, 1
2014/08/08, 09:15:46, -41.381191, -71.558281, 919.93,  1584.00, 16, 0, 50.10, 1
2014/08/08, 09:46:34, -41.381252, -71.557632, 923.16,  288.00, 347, 0, 54.57, 1
2014/08/08, 10:27:34, -41.381531, -71.557213, 915.18,  576.00, 348, 0, 46.74, 1
2014/08/08, 10:57:35, -41.381817, -71.558052, 918.88,  900.00, 110, 0, 76.88, 1
2014/08/08, 11:50:35, -41.382137, -71.558434, 928.81,  936.00, 278, 0, 47.77, 1
2014/08/08, 12:26:55, -41.381802, -71.559181, 905.87,  0.00, 41, 0, 72.61, 1
2014/08/08, 12:56:32, -41.381252, -71.559219, 924.49,  0.00, 152, 0, 61.24, 1
2014/08/08, 13:26:13, -41.380577, -71.559128, 903.76,  144.00, 60, 0, 75.44, 1
2014/08/08, 13:56:19, -41.380093, -71.558777, 891.32,  684.00, 331, 0, 61.27, 1
2014/08/08, 14:45:28, -41.379875, -71.558708, 897.54,  432.00, 40, 0, 24.91, 1
2014/08/08, 15:38:27, -41.374744, -71.574844, 4307.11,  29556.00, 309, 0, 1462.25, 1
2014/08/08, 16:08:48, -41.379864, -71.558693, 918.76,  2088.00, 20, 0, 1462.93, 1
2014/08/08, 16:39:23, -41.379005, -71.559059, 895.74,  612.00, 340, 0, 100.28, 1
2014/08/08, 17:43:52, -41.379005, -71.559059, 895.74,  612.00, 340, 0, 0.00, 1
2014/08/08, 18:18:35, -41.379845, -71.559433, 910.55,  432.00, 216, 0, 98.48, 1
2014/08/08, 18:48:36, -41.380287, -71.559723, 930.77,  432.00, 11, 0, 54.78, 1
2014/08/08, 19:18:41, -41.380737, -71.559296, 1038.96,  2556.00, 44, 0, 61.42, 1
2014/08/08, 19:51:58, -41.382732, -71.559555, 901.93,  1080.00, 236, 0, 222.88, 1
2014/08/08, 20:59:14, -41.382732, -71.559555, 901.93,  1080.00, 236, 0, 0.00, 1
2014/08/08, 21:29:14, -41.383480, -71.558327, 825.62,  216.00, 212, 0, 131.96, 1
2014/08/08, 21:59:11, -41.383335, -71.558640, 888.81,  1044.00, 92, 0, 30.69, 1
2014/08/08, 23:02:35, -41.383469, -71.558578, 901.97,  468.00, 18, 0, 15.77, 1
2014/08/08, 23:32:33, -41.383999, -71.558334, 847.78,  1080.00, 345, -4, 62.35, 1
2014/08/09, 00:02:21, -41.383480, -71.558525, 910.24,  684.00, 120, -2, 0.00, 1
2014/08/09, 01:04:27, -41.383644, -71.558548, 904.82,  576.00, 230, 0, 18.34, 1
2014/08/09, 02:00:46, -41.383026, -71.559105, 897.74,  252.00, 298, 0, 82.96, 1
2014/08/09, 02:34:27, -41.382935, -71.559235, 925.37,  864.00, 271, 0, 14.83, 1
2014/08/09, 03:08:08, -41.382813, -71.559204, 870.37,  2448.00, 229, 0, 13.81, 1
2014/08/09, 03:50:17, -41.382866, -71.559319, 910.90,  1188.00, 169, 0, 11.26, 1
2014/08/09, 04:20:21, -41.383366, -71.559746, 848.39,  684.00, 36, 0, 66.03, 1
2014/08/09, 04:50:29, -41.382431, -71.559006, 988.04,  1332.00, 22, 0, 120.92, 1
2014/08/09, 05:56:58, -41.382969, -71.559677, 973.71,  1332.00, 319, 0, 81.93, 1
2014/08/09, 06:27:10, -41.383453, -71.558693, 1390.57,  1188.00, 178, 0, 98.16, 1
2014/08/09, 06:57:08, -41.382988, -71.559624, 908.67,  1404.00, 220, 0, 93.31, 1
2014/08/09, 07:41:28, -41.382954, -71.559494, 900.97,  504.00, 50, 0, 11.49, 1
2014/08/09, 08:20:12, -41.382954, -71.559761, 922.24,  180.00, 294, 0, 22.28, 1
2014/08/09, 08:50:28, -41.382912, -71.559700, 878.86,  756.00, 161, 0, 6.91, 1
2014/08/09, 09:20:21, -41.383060, -71.559380, 873.43,  1440.00, 46, 0, 31.36, 1
2014/08/09, 09:50:30, -41.382919, -71.559639, 930.46,  396.00, 59, 0, 26.70, 1
2014/08/09, 10:20:40, -41.383125, -71.559532, 919.62,  1548.00, 129, 0, 24.58, 1
2014/08/09, 11:23:15, -41.383415, -71.559822, 908.76,  0.00, 0, 0, 40.31, 1
2014/08/09, 11:53:07, -41.383553, -71.560059, 909.14,  1332.00, 162, 0, 25.03, 1
2014/08/09, 12:22:53, -41.383141, -71.560234, 898.09,  648.00, 255, 0, 48.08, 1
2014/08/09, 12:55:33, -41.383106, -71.560104, 928.16,  756.00, 38, 0, 11.52, 1
2014/08/09, 13:28:04, -41.382713, -71.560211, 995.11,  1296.00, 29, 0, 44.60, 1
2014/08/09, 13:58:16, -41.382847, -71.560219, 967.42,  1008.00, 89, 0, 14.92, 1
2014/08/09, 14:28:56, -41.382931, -71.560257, 1057.44,  828.00, 173, 0, 9.86, 1
2014/08/09, 15:03:45, -41.383301, -71.560051, 904.68,  1692.00, 289, 0, 44.59, 1
2014/08/09, 15:38:41, -41.383442, -71.559525, 929.84,  1728.00, 46, 0, 46.60, 1
2014/08/09, 19:10:46, -41.383442, -71.559525, 929.84,  1728.00, 46, 0, 0.00, 1
2014/08/09, 20:08:38, -41.390331, -71.560410, 899.87,  396.00, 40, 0, 769.57, 1
2014/08/09, 20:39:45, -41.391121, -71.560196, 908.05,  972.00, 2, 0, 89.64, 1
2014/08/09, 21:30:34, -41.391273, -71.559921, 942.99,  468.00, 31, 0, 28.49, 1
2014/08/09, 22:00:02, -41.391273, -71.559921, 942.99,  468.00, 31, 0, 0.00, 1
2014/08/09, 22:30:01, -41.391155, -71.559616, 956.93,  2520.00, 18, 0, 28.63, 1
2014/08/09, 23:02:02, -41.391266, -71.559769, 914.14,  1872.00, 262, 0, 17.76, 1
2014/08/09, 23:31:38, -41.391193, -71.559784, 927.06,  2808.00, 311, -4, 8.21, 1
2014/08/10, 00:11:32, -41.391319, -71.559784, 905.66,  720.00, 15, -2, 0.00, 1
2014/08/10, 00:40:46, -41.391167, -71.559280, 863.28,  0.00, 291, 0, 45.31, 1
2014/08/10, 01:12:13, -41.388344, -71.558189, 820.11,  1368.00, 78, 0, 326.83, 1
2014/08/10, 01:46:40, -41.391407, -71.559868, 914.31,  2232.00, 184, 0, 368.27, 1
2014/08/10, 02:28:37, -41.391407, -71.559868, 914.31,  2232.00, 184, 0, 0.00, 1
2014/08/10, 03:16:14, -41.391129, -71.559769, 1012.94,  324.00, 184, 0, 32.00, 1
2014/08/10, 04:17:28, -41.391289, -71.559746, 913.61,  504.00, 254, 0, 17.89, 1
2014/08/10, 05:18:56, -41.391178, -71.559837, 915.13,  1152.00, 330, 0, 14.49, 1
2014/08/10, 05:52:20, -41.391254, -71.559792, 920.29,  1548.00, 110, 0, 9.25, 1
2014/08/10, 06:22:07, -41.391327, -71.559692, 916.13,  72.00, 157, 0, 11.64, 1
2014/08/10, 06:51:34, -41.391376, -71.559647, 921.63,  7272.00, 4, 0, 6.62, 1
2014/08/10, 07:21:40, -41.391613, -71.559517, 972.49,  4356.00, 19, 0, 28.50, 1
2014/08/10, 07:51:28, -41.391270, -71.559799, 927.19,  648.00, 196, 0, 44.81, 1
2014/08/10, 08:21:52, -41.391300, -71.559731, 915.64,  324.00, 311, 0, 6.58, 1
2014/08/10, 08:57:49, -41.391228, -71.559723, 961.52,  1800.00, 166, 0, 8.03, 1
2014/08/10, 09:34:45, -41.391258, -71.559891, 913.94,  684.00, 92, 0, 14.41, 1
2014/08/10, 10:07:33, -41.391869, -71.559166, 864.49,  468.00, 337, 0, 90.96, 1
2014/08/10, 10:36:51, -41.391396, -71.559067, 890.14,  324.00, 289, 0, 53.24, 1
2014/08/10, 11:43:35, -41.391396, -71.559067, 890.14,  324.00, 289, 0, 0.00, 1
2014/08/10, 12:46:27, -41.392380, -71.561218, 892.28,  972.00, 49, 0, 210.16, 1
2014/08/10, 13:17:02, -41.392384, -71.561272, 922.29,  360.00, 82, 0, 4.53, 1
2014/08/10, 14:00:04, -41.392815, -71.561958, 934.10,  1080.00, 306, 0, 74.64, 1
2014/08/10, 14:29:53, -41.392910, -71.561920, 924.52,  1224.00, 320, 0, 11.03, 1
2014/08/10, 14:59:39, -41.391911, -71.561340, 907.05,  576.00, 58, 0, 121.16, 1
2014/08/10, 15:29:38, -41.391605, -71.561424, 883.67,  1044.00, 352, 0, 34.74, 1
2014/08/10, 16:31:40, -41.391605, -71.561424, 883.67,  1044.00, 352, 0, 0.00, 1
