Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2014/08/07, 00:18:09, -41.401665, -71.574478, 970.96,  1332.00, 303, -2, 0.00, 1
2014/08/07, 01:06:16, -41.401794, -71.574234, 995.73,  0.00, 169, 0, 24.90, 1
2014/08/07, 01:36:15, -41.401882, -71.574188, 1018.88,  396.00, 146, 0, 10.51, 1
2014/08/07, 02:06:27, -41.401630, -71.574013, 995.59,  972.00, 334, 0, 31.59, 1
2014/08/07, 02:59:12, -41.402210, -71.573990, 940.87,  900.00, 200, 0, 64.52, 1
2014/08/07, 03:37:03, -41.401958, -71.573936, 1008.97,  1872.00, 236, 0, 28.38, 1
2014/08/07, 04:18:31, -41.401802, -71.574104, 968.21,  2376.00, 184, 0, 22.30, 1
2014/08/07, 05:03:51, -41.401802, -71.574104, 968.21,  2376.00, 184, 0, 0.00, 1
2014/08/07, 05:34:05, -41.401638, -71.574486, 988.29,  1224.00, 35, 0, 36.71, 1
2014/08/07, 06:04:17, -41.402012, -71.573975, 916.83,  432.00, 80, 0, 59.55, 1
2014/08/07, 06:34:17, -41.401863, -71.574074, 948.12,  0.00, 36, 0, 18.51, 1
2014/08/07, 07:04:25, -41.402023, -71.574127, 960.58,  648.00, 142, 0, 18.33, 1
2014/08/07, 07:34:31, -41.401970, -71.574188, 966.00,  1332.00, 247, 0, 7.79, 1
2014/08/07, 08:04:35, -41.401897, -71.574249, 948.13,  0.00, 22, 0, 9.58, 1
2014/08/07, 08:34:57, -41.402153, -71.574265, 967.31,  252.00, 147, 0, 28.50, 1
2014/08/07, 09:31:23, -41.401886, -71.573601, 996.00,  396.00, 188, 0, 62.84, 1
2014/08/07, 10:01:41, -41.400539, -71.573204, 979.04,  2088.00, 313, 0, 153.40, 1
2014/08/07, 10:32:33, -41.400356, -71.572487, 1036.79,  2520.00, 2, 0, 63.17, 1
2014/08/07, 11:16:16, -41.383297, -71.559273, 3698.33,  11016.00, 36, 0, 2193.90, 1
2014/08/07, 12:09:46, -41.400070, -71.570480, 965.06,  8964.00, 63, 0, 2086.26, 1
2014/08/07, 13:08:41, -41.400871, -71.570313, 991.54,  1872.00, 320, 0, 90.15, 1
2014/08/07, 13:39:54, -41.401695, -71.571091, 982.52,  1080.00, 108, 0, 112.28, 1
2014/08/07, 14:33:55, -41.402142, -71.571922, 774.25,  756.00, 111, 0, 85.29, 1
2014/08/07, 15:26:18, -41.401974, -71.572525, 945.50,  2016.00, 37, 0, 53.65, 1
2014/08/07, 15:57:08, -41.402279, -71.571480, 943.44,  540.00, 101, 0, 93.52, 1
2014/08/07, 16:28:02, -41.402336, -71.571495, 977.87,  0.00, 266, 0, 6.46, 1
2014/08/07, 16:58:52, -41.402264, -71.571732, 1021.79,  2772.00, 120, 0, 21.33, 1
2014/08/07, 17:29:42, -41.403000, -71.570404, 963.05,  0.00, 161, 0, 137.72, 1
2014/08/07, 18:00:33, -41.403172, -71.570656, 964.01,  900.00, 265, 0, 28.42, 1
2014/08/07, 18:31:19, -41.403053, -71.570381, 974.32,  0.00, 113, 0, 26.48, 1
2014/08/07, 19:01:55, -41.403339, -71.570320, 968.72,  0.00, 7, 0, 32.21, 1
