,Parcela,Fecha,Dia,Mes,Año,Càmara,Latitud,Longitud,Altura,Pendiente,Orientación,Aspect,Ambiente,Cobertura.TOTAL,Grado.ramoneo,Total_ramoneadas,proporcion,Riqueza,bostas,Forraje..altura.,Pasto,Troncos.caidos,Altura.de.tronco,Roca,Suelo.desnudo,Distancia.a.picada,X.utm,Y.utm,x,y,std_elevation,std_slope,sqr.Altura,sqr.Pendiente,std_sqr.elevation,std_sqr.slope,std_rocks,std_grass,std_soil,std_distance,li,x,y
1,AGO 1,,13,2,2014,,-41.4168,-71.6415,1165,25,NE ,40,forest,60,2,3,0.5,6,0,NA,0,8,30,0,5,15,279241.254533103,5411604.82158372,-71.6415,-41.4168,-0.6312349325,1.2921622406,1357225,625,-0.6663866206,1.0951156456,-0.3411170978,-0.5475238245,-0.5144040445,0.1173372687,0.9133390068,-20.0922495016,31.517263802
2,AGO 2,,13,2,2014,,-41.4169,-71.6403,1150,1,NE,40,abierto,90,2,3,0.3,10,2,2,30,NA,NA,0,0,10,279341.890124194,5411596.77873109,-71.6403,-41.4169,-0.6942609941,-0.9998479034,1322500,1,-0.7203155694,-0.6838832843,-0.3411170978,1.3351577647,-0.8764387147,-0.2866682971,1.0970880024,37.9976190787,3.6571726822
3,AGO 3,,13,2,2014,,-41.4197,-71.6428,1280,10,NE,30,forest,70,2,3,0.3333333333,9,1,5,1,2,20,0,3,20,279142.432056031,5411279.51034158,-71.6428,-41.4197,-0.1480351265,-0.1403440994,1638400,100,-0.2297135559,-0.4016382617,-0.3411170978,-0.4847677715,-0.6592179126,0.5213428345,0.9965465858,-33.1453282773,34.5410345052
4,AGO 4,,13,2,2014,,-41.4206,-71.6442,1303,10,NE,40,forest,50,2,3,0.6,5,0,NA,0,3,20,0,5,10,279028.477420914,5411176.00702835,-71.6442,-41.4206,-0.0513951653,-0.1403440994,1697809,100,-0.1374496274,-0.4016382617,-0.3411170978,-0.5475238245,-0.5144040445,-0.2866682971,0.8919028609,-25.2325701314,14.3228435582
5,AGO 5,,13,2,2014,,-41.4213,-71.6441,1324,15,NE,10,forest,70,1,2,0.5,4,0,NA,0,3,20,0,3,15,279039.209662297,5411098.53959177,-71.6441,-41.4213,0.0368413211,0.3371580139,1752976,225,-0.05177365,-0.0452682838,-0.3411170978,-0.5475238245,-0.6592179126,0.1173372687,-1.2668379124,-29.5317265086,9.4799713281
6,AGO 6,,13,2,2014,,-41.4219,-71.6457,1410,30,NW,330,matorral,60,1,1,0.1666666667,6,0,NA,0,5,30,0,15,6,278907.526378145,5411027.83324747,-71.6457,-41.4219,0.3981907412,1.7696643539,1988100,900,0.313380854,1.879129597,-0.3411170978,-0.5475238245,0.209665296,-0.6098727498,-0.832514151,-13.2647463362,2.4465710675
7,AGO 7,,13,2,2014,,-41.4228,-71.646,1466,10,NE,40,forest,60,2,4,0.3333333333,12,0,NA,0,3,15,0,10,0,278885.509524073,5410927.13735846,-71.646,-41.4228,0.6334880381,-0.1403440994,2149156,100,0.5635055703,-0.4016382617,-0.3411170978,-0.5475238245,-0.1523693742,-1.0946794287,-0.8639019679,-46.662395763,-1.9910061805
8,APA 1,,14,2,2014,,-41.4051,-71.6504,1221,1,SE,110,forest,30,2,3,0.3,10,0,NA,0,NA,NA,0,25,0,278457.608236593,5412881.16012879,-71.6504,-41.4051,-0.3959376356,-0.9998479034,1490841,1,-0.4588770333,-0.6838832843,-0.3411170978,-0.5475238245,0.9337346364,-1.0946794287,-0.2200934289,-43.1786842811,26.9711236478
9,APA 10,,15,2,2014,,-41.4127,-71.6432,1148,1,SE,120,abierto,60,3,2,0.2,10,1,7,20,NA,NA,0,25,30,279085.265048027,5412055.71668637,-71.6432,-41.4127,-0.702664469,-0.9998479034,1317904,1,-0.7274532929,-0.6838832843,-0.3411170978,0.7075972349,0.9337346364,1.3293539661,-0.4881065271,10.936276171,-20.1997238208
10,APA 2,,14,2,2014,,-41.4053,-71.6538,1225,0,,,matorral,60,3,5,0.4166666667,12,1,6,20,2,20,0,10,0,278174.063083815,5412850.24614592,-71.6538,-41.4053,-0.3791306859,-1.0953483261,1500625,0,-0.4436821928,-0.6867342441,-0.3411170978,0.7075972349,-0.1523693742,-1.0946794287,0.1482788159,11.2859110747,-1.8356757408
11,APA 3,,14,2,2014,,-41.4062,-71.6524,1221,0,,,forest,70,3,2,0.1428571429,14,6,6,20,NA,NA,0,5,0,278294.158732218,5412753.90376912,-71.6524,-41.4062,-0.3959376356,-1.0953483261,1490841,0,-0.4588770333,-0.6867342441,-0.3411170978,0.7075972349,-0.5144040445,-1.0946794287,-1.0896727437,11.6373408386,-21.5002537466
12,APA 4,,14,2,2014,,-41.4065,-71.6522,1232,0,,,forest,60,2,4,0.4444444444,9,0,NA,0,7,20,0,15,10,278311.898155905,5412721.10628914,-71.6522,-41.4065,-0.3497185238,-1.0953483261,1517824,0,-0.4169716388,-0.6867342441,-0.3411170978,-0.5475238245,0.209665296,-0.2866682971,-1.1266967423,15.684970296,23.3062395246
13,APA 5,,15,2,2014,,-41.4077,-71.6459,1166,15,NE,75,forest,40,2,2,0.1538461538,13,0,NA,0,7,25,0,10,5,278842.613031248,5412603.98344801,-71.6459,-41.4077,-0.627033195,0.3371580139,1359556,225,-0.6627665089,-0.0452682838,-0.3411170978,-0.5475238245,-0.1523693742,-0.6906738629,-0.6027977838,-43.6629891197,25.2322338718
14,APA 6,,15,2,2014,,-41.4126,-71.6438,1140,0,,,forest,45,2,3,0.2307692308,13,1,5,1,NA,NA,0,5,1,279034.774296588,5412065.28825131,-71.6438,-41.4126,-0.7362783686,-1.0953483261,1299600,0,-0.7558799445,-0.6867342441,-0.3411170978,-0.4847677715,-0.5144040445,-1.0138783156,-0.0486711181,-0.0280731641,24.0087688099
15,APA 7,,15,2,2014,,-41.4071,-71.6477,1219,0,,,forest,40,2,4,0.4,10,3,8,1,3,10,0,30,30,278690.108943608,5412666.00220418,-71.6477,-41.4071,-0.4043411105,-1.0953483261,1485961,0,-0.4664558172,-0.6867342441,-0.3411170978,-0.4847677715,1.2957693066,1.3293539661,1.1117608433,-7.1687514435,-1.7495134615
16,APA 8,,15,2,2014,,-41.4071,-71.6494,1237,3,NE,70,forest,20,2,6,0.5,12,1,NA,0,3,15,0,35,1,278548.000410861,5412661.65425436,-71.6494,-41.4071,-0.3287098365,-0.8088470581,1530169,9,-0.3977994898,-0.6610756057,-0.3411170978,-0.5475238245,1.6578039768,-1.0138783156,-0.9988413116,-24.7387820194,26.0243438132
17,APA 9,,15,2,2014,,-41.4071,-71.65,1269,2,NE,25,forest,30,3,5,0.3846153846,13,1,2,1,2,20,0,60,0,278497.84445225,5412660.11901639,-71.65,-41.4071,-0.1942542383,-0.9043474807,1610361,4,-0.2732589496,-0.6753304048,-0.3411170978,-0.4847677715,3.4679773279,-1.0946794287,-0.6722417966,-27.1667687747,25.0379773533
18,CL 5,,29,8,2014,,-41.3687,-71.5875,1451,5,SW,205,alto_andino,30,2,1,0.1666666667,6,2,25,30,40,1,30,20,6,283595.017412362,5417081.77487879,-71.5875,-41.3687,0.5704619764,-0.6178462127,2105401,25,0.4955527653,-0.6154602485,1.6592012945,1.3351577647,0.5716999662,-0.6098727498,0.8069375721,7.8300269466,-46.4943239078
19,CL 6,,29,8,2014,,-41.3692,-71.5904,1364,2,NW,300,alto_andino,90,3,1,0.2,5,3,1,90,NA,NA,0,3,3,283354.115376211,5417019.01062946,-71.5904,-41.3692,0.2049108188,-0.9043474807,1860496,4,0.11520808,-0.6753304048,-0.3411170978,5.1005209429,-0.6592179126,-0.8522760892,0.1087748572,20.4040903899,-21.7179051121
20,cl1,28/08/14,28,8,2014,,-41.36045,-71.5885333333,904,8,NE,20,matorral,50,1,1,NA,NA,1,9,10,0,0,5,30,30,283481.220196062,5417995.19924853,-71.5885333333,-41.36045,-1.7278884053,-0.3313449447,817216,64,-1.5050365183,-0.5042728154,-0.0077306991,0.0800367052,1.2957693066,1.3293539661,,,
21,cl2,28/08/14,28,8,2014,,-41.3631666667,-71.5885166667,1053,20,NO,335,quemado,60,2,1,NA,NA,1,5,3,10,40,1,20,1,283491.625635757,5417693.60661487,-71.5885166667,-41.3631666667,-1.1018295262,0.8146601273,1108809,400,-1.0521839925,0.4536496853,-0.2744398181,-0.3592556656,0.5716999662,-1.0138783156,,,
22,cl3,28/08/14,28,8,2014,,-41.3648833333,-71.5882166667,1172,20,NO,310,quemado,40,2,2,NA,NA,1,4,3,15,35,30,10,4,283522.414191082,5417503.75298723,-71.5882166667,-41.3648833333,-0.6018227704,0.8146601273,1373584,400,-0.6409806113,0.4536496853,1.6592012945,-0.3592556656,-0.1523693742,-0.7714749761,,,
23,cl4,29/08/14,29,8,2014,,-41.3675,-71.5885,1369,20,NO,300,matorral,60,2,0,NA,NA,1,4,3,5,30,5,15,3,283507.394457836,5417212.51359977,-71.5885,-41.3675,0.225919506,0.8146601273,1874161,400,0.1364302279,0.4536496853,-0.0077306991,-0.3592556656,0.209665296,-0.8522760892,,,
24,CL7,05/09/14,5,9,2014,,-41.3806,-71.5569166667,897,5,NO,60,matorral,65,1,4,NA,NA,0,5,5,0,0,0,3,4,286192.066169821,5415836.45671042,-71.5569166667,-41.3806,-1.7573005674,-0.6178462127,804609,25,-1.524615561,-0.6154602485,-0.3411170978,-0.2337435596,-0.6592179126,-0.7714749761,-0.9909497451,29.634471135,13.4283586182
25,CL8,05/09/14,5,9,2014,,-41.4078166667,-71.5608166667,1023,5,NO,315,forest,70,1,3,NA,NA,0,10,1,2,30,0,2,30,285955.290992655,5412804.92180315,-71.5608166667,-41.4078166667,-1.2278816495,-0.6178462127,1046529,25,-1.1489066686,-0.6154602485,-0.3411170978,-0.4847677715,-0.7316248466,1.3293539661,0.9685697779,16.9274840956,22.3942625448
26,CL9,05/09/14,5,9,2014,,-41.4072666667,-71.5585166667,1066,20,SO,260,quemado,40,1,2,NA,NA,1,10,20,5,50,0,15,20,286145.746820445,5412871.67387821,-71.5585166667,-41.4072666667,-1.0472069394,0.8146601273,1136356,400,-1.0094026893,0.4536496853,-0.3411170978,0.7075972349,0.209665296,0.5213428345,0.7694042562,32.2067308399,-7.3025784599
27,CN 3,,29,8,2014,,-41.3665,-71.5892,1282,15,NW,310,matorral,50,1,4,0.5,8,1,8,3,2,10,1,30,1,283445.525694396,5417321.79510856,-71.5892,-41.3665,-0.1396316516,0.3371580139,1643524,225,-0.2217558328,-0.0452682838,-0.2744398181,-0.3592556656,1.2957693066,-1.0138783156,0.7656837412,15.0225527332,13.7716066178
28,CNN 1,,7,1,2013,,-41.4133,-71.6388,1147,15,SW,220,forest,75,2,2,0.1666666667,12,1,12,40,5,20,0,5,0,279455.074435663,5412000.31892333,-71.6388,-41.4133,-0.7068662065,0.3371580139,1315609,225,-0.7310174955,-0.0452682838,-0.3411170978,1.9627182944,-0.5144040445,-1.0946794287,0.9050858584,-27.2756134428,21.6230486452
29,CNN 2,,7,1,2013,,-41.4130277778,-71.63886111,1169,25,SW,200,forest,30,3,5,0.4166666667,12,0,6,10,NA,NA,0,3,10,279449.045042888,5412030.38867538,-71.63886111,-41.4130277778,-0.6144279827,1.2921622406,1366561,625,-0.6518875373,1.0951156456,-0.3411170978,0.0800367052,-0.6592179126,-0.2866682971,0.9537865104,-26.9937233669,24.6762744955
30,CNN 3,,7,1,2013,,-41.4129,-71.6391,1135,5,SW,230,forest,55,2,1,0.0666666667,15,0,NA,0,25,NA,0,5,0,279428.644710411,5412043.96735422,-71.6391,-41.4129,-0.7572870558,-0.6178462127,1288225,25,-0.7735456549,-0.6154602485,-0.3411170978,-0.5475238245,-0.5144040445,-1.0946794287,0.5263869274,-21.0977019404,2.8214050021
31,CNN 4,,8,1,2013,si,-41.4106,-71.6438,1165,5,s ,180,forest,40,2,0,0,14,0,NA,0,NA,NA,0,10,1,279027.991604385,5412287.35306769,-71.6438,-41.4106,-0.6312349325,-0.6178462127,1357225,25,-0.6663866206,-0.6154602485,-0.3411170978,-0.5475238245,-0.1523693742,-1.0138783156,0.7187458335,-35.6931525664,33.5245560476
32,CNN 5,,8,1,2013,,-41.4148,-71.6479,1232,25,E,90,forest,65,2,1,0.0833333333,12,1,NA,0,10,50,2,15,1,278699.543885694,5411810.54100277,-71.6479,-41.4148,-0.3497185238,1.2921622406,1517824,625,-0.4169716388,1.0951156456,-0.2077625383,-0.5475238245,0.209665296,-1.0138783156,0.7877665818,-24.2468998616,14.7134351325
33,CNN 6,,8,1,2013,si,-41.4131,-71.6459,1187,3,se,100,forest,50,2,2,0.1818181818,11,6,NA,1,5,10,0,20,1,278860.940433122,5412004.40841468,-71.6459,-41.4131,-0.5387967087,-0.8088470581,1408969,9,-0.5860266631,-0.6610756057,-0.3411170978,-0.4847677715,0.5716999662,-1.0138783156,0.0545176451,-39.876593208,37.2841787498
